name,address,categories,rating,user_ratings_total,place_id,lat,lng,sources
COMIDA CHINA DAHUI,"C. Washington 104-oriente, Centro, 64000 Monterrey, N.L., 墨西哥",餐饮,4,22,ChIJqYwczBO_YoYR-CNjoqtzc0I,25.6743284,-100.3142937,小吃｜蒙特雷
COMIDA CHINA HONGKONG,"Av. Santa Barbara 120-122, 67256 Cdad. Benito Juárez, N.L., 墨西哥",餐饮,4.7,15,ChIJ3fRMOn3DYoYR70DzHAdlj4g,25.6796366,-100.0850743,小吃｜蒙特雷
Comida China Hui Xin,"Av. Diego Díaz de Berlanga 198, Jardines de Santo Domingo, 66450 San Nicolás de los Garza, N.L., 墨西哥",餐饮,4.4,67,ChIJ69ExP-2VYoYRSilzGuP75Zk,25.7424654,-100.262608,jiao zi｜蒙特雷 | jiaozi｜蒙特雷
Comida china Jin Zhen,"Jordan 1858, Tijerina, 64460 Monterrey, N.L., 墨西哥",餐饮,4.6,422,ChIJR-oAZ-SVYoYRhzfiTgEvnjw,25.6941842,-100.3390788,中餐馆｜蒙特雷 | 中餐｜蒙特雷 | 小吃｜蒙特雷 | 面馆｜蒙特雷
Comida china ke xin,"Vicente Guerrero 2500, Col Del Prado, 64520 Monterrey, N.L., 墨西哥",餐饮,4.8,9,ChIJXSRpBfWVYoYRDtz5FMGoSwU,25.7020647,-100.3081425,huo guo｜蒙特雷 | 中餐馆｜蒙特雷 | 中餐｜蒙特雷 | 火锅｜蒙特雷
Comida china ke xin buffet,"Av. Industrias del Poniente # 1050 LK-103 N. L N.L MX, Sin Nombre de Col 3, 66370 Cdad. Santa Catarina, N.L., 墨西哥",餐饮,3.5,45,ChIJ8WqcEM2ZYoYRZLr62LiRdSU,25.6767798,-100.4490434,中餐｜蒙特雷
Comida china La Gran fortuna,"Rogelio González Caballero, Av. Miguel Alemán 100-Local 8, Parque Industrial Stiva, Aeropuerto, 66626 Cdad. Apodaca, N.L., 墨西哥",餐饮,4.7,20,ChIJ2y1hCAjvYoYR6YiB4o8wlJA,25.7882969,-100.1445378,中餐｜蒙特雷
Comida china Long Xing,"Av Manuel Ordoñez 204, Centro, 66350 Cdad. Santa Catarina, N.L., 墨西哥",餐饮,3.6,38,ChIJu4hKqGeZYoYRLStzW84_ws0,25.6739085,-100.4629617,中餐馆｜蒙特雷
Comida china Miang hui,"Raul salinas lozano, Av. las Torres 100 2, puerta del sol, 66070 Cdad. Gral. Escobedo, N.L., 墨西哥",餐饮,3.2,9,ChIJn5IrCzWTYoYRFMZHua93Puc,25.8049295,-100.3426435,中餐馆｜蒙特雷
Comida china Shenzhen,"Av. Benito Juárez 1302, Sin Nombre de Col 15, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",餐饮,4,4,ChIJV_z8MwCTYoYR8ZwOwHg6jHc,25.7990283,-100.3135163,中餐馆｜蒙特雷
comida china shenzhen,"Av. San Fernando 308, 66670 Dulces Nombres, N.L., 墨西哥",餐饮,3.5,10,ChIJ5dCIdgDpYoYRGyA1BmsrNyU,25.7146455,-100.1054511,中餐馆｜蒙特雷 | 中餐｜蒙特雷
Comida China Xing Long,"Carr. Monterrey - Saltillo 2460, Cumbres de Santa Catarina Primer Sector, 66358 Cdad. Santa Catarina, N.L., 墨西哥",餐饮,4.5,19,ChIJH41mG9iZYoYRO-Y5Y2S-VQA,25.6840066,-100.4862189,中餐馆｜蒙特雷 | 中餐｜蒙特雷
comida china xingwang,"Av Abraham Lincoln 1872, Valle de Lincoln, 66026 García, N.L., 墨西哥",餐饮,4.1,38,ChIJwxzBILKbYoYRqnI3Lvjqlro,25.7894676,-100.4903232,中餐馆｜蒙特雷 | 中餐｜蒙特雷
Comida china y sushi,"Av. Arco del Triunfo, 66580 Cdad. Gral. Escobedo, N.L., 墨西哥",餐饮,3.9,9,ChIJF4aoZ8OTYoYRaS5bzJR05yc,25.8525758,-100.3049685,jiao zi｜蒙特雷
Comida china y Sushi yang yang,"Av. Raúl Salinas Lozano 144-1-3, INFONAVIT Felipe Carrillo Puerto, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",餐饮,4.7,1658,ChIJbWMnQZGTYoYRe0uhx3iapLo,25.7846135,-100.3206766,jiao zi｜蒙特雷 | jiaozi｜蒙特雷
Comida China Yalé,"Av. Chapultepec 1645, Jardín Español, 64800 Monterrey, N.L., 墨西哥",餐饮,4.2,462,ChIJfURZP92_YoYR2VHzWjxziMI,25.6668034,-100.283843,jiao zi｜蒙特雷 | jiaozi｜蒙特雷 | 中餐｜蒙特雷
Comida china Yong Chang,"Av. Cristóbal Colón S/N, Industrial, 64000 Monterrey, N.L., 墨西哥",餐饮,4,241,ChIJbZffCYuVYoYRrEgGgAi8qAE,25.6876973,-100.3244008,xiaolongbao｜蒙特雷 | 中餐馆｜蒙特雷 | 中餐｜蒙特雷
Comidas Tomy,"Luis Moreno 4907, Niño Artillero, 64280 Monterrey, N.L., 墨西哥",餐饮,4.7,131,ChIJfRi7nDCVYoYROBicDmwmhok,25.7212057,-100.3267777,mala tang｜蒙特雷
COMIDAS Y ANTOJITOS LA VERACRUZANA,"Av. Cordillera 530, C.P .66026 Valle de Lincoln, N.L., 墨西哥",餐饮,4.5,11,ChIJqV0vOACbYoYRu58lJfdiU_4,25.8056395,-100.4844508,小吃｜蒙特雷
conde car center,"Calle Seguridad Soc. 105, Valle de Infonavit, 64350 Monterrey, N.L., 墨西哥",汽车/维修,4.8,41,ChIJs4wcZOiWYoYRXgXWNcQtQ6g,25.7379243,-100.3823926,修车｜蒙特雷
Consultorio Acupuntura y Quiropraxia,"Cenizo 1905, Colonia Mirasol 2, 64100 Monterrey, N.L., 墨西哥",医疗/中医,4,4,ChIJ-VOKozSRYoYRcRXO6US7YrA,25.7721682,-100.3818689,针灸｜蒙特雷
Cursos de Chino Mandarín Wow Languages online por Zoom!,"Av San Nicolás 105-Local 22, Cuauhtémoc, 66450 San Nicolás de los Garza, N.L., 墨西哥",教育/培训,5,1,ChIJVy2BDeWUYoYRiufzlZLDYDM,25.7392044,-100.2896031,中文学校｜蒙特雷 | 中文课｜蒙特雷
D' Liz salón y peluquería,"C. Julio A. Roca 1244, Croc, 64200 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.8,66,ChIJn7tqEJuRYoYRgsdsIDf888E,25.7746502,-100.3741013,发廊｜蒙特雷 | 美发｜蒙特雷
DE LA GARZA Hairstylists,"P.º de Las Estrellas 155-local 1, Las, Cumbres Elite 5to. Sector, 64619 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.8,64,ChIJCTeDNfmWYoYRww-pDLjdKkM,25.7244084,-100.3907405,发廊｜蒙特雷 | 美发｜蒙特雷
Divinite Nails Salon,"Av Alfonso Reyes 550-Local 216, Regina, 64290 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.8,34,ChIJ0-AJgl2VYoYRBcybb9R9_MM,25.7081006,-100.3144255,美甲｜蒙特雷
DLI Distribución y Logística,"Autopista Monterrey - Cadereyta, Km 3100C, 67133 Guadalupe, N.L., 墨西哥",物流/清关,4.2,5,ChIJefi9vrVXHI0RVJQUyEXxpJ4,25.6877147,-100.1456925,物流｜蒙特雷
DM hair salón,"Acamapichtli 215, José López Portillo, 66140 Cdad. Santa Catarina, N.L., 墨西哥",美容/美发/美甲,5,33,ChIJ1a8k34SXYoYRJ8QxN8iAY8s,25.6793243,-100.4313257,发廊｜蒙特雷 | 理发｜蒙特雷 | 美发｜蒙特雷
Don Sushi,"Estardo Guajardo 22, Sin Nombre de Col 26, 66600 Cdad. Apodaca, N.L., 墨西哥",餐饮,3.5,64,ChIJ_atkC0vrYoYR6TtDQ9tiX2Q,25.7730807,-100.1936083,la mian｜蒙特雷
Dynasty,"Av. José Vasconcelos 402, Zona la Alianza, 66220 Monterrey, N.L., 墨西哥",餐饮,4.2,59,ChIJI0V7sue9YoYRRb6PiyYX8BI,25.6512037,-100.3595489,中餐馆｜蒙特雷
D’Liz Salon Suc Garcia Mitras Pte,"Av. Sierra Madre 338, Villas del Poniente, Mitras Poniente, 66023 Mitras Poniente, N.L., 墨西哥",美容/美发/美甲,4.4,88,ChIJnx0td3KRYoYRwtl1MxWTb_8,25.7814866,-100.4334562,美发｜蒙特雷
El General Barber Club,"Plaza Nave 01, Av. Miguel Alemán no 120, Milimex, 66637 Cdad. Apodaca, N.L., 墨西哥",美容/美发/美甲,4.3,86,ChIJ3-36k6rrYoYREdchctMwCXU,25.7537883,-100.1970018,理发｜蒙特雷
El Moño salón de belleza y peluquería,"Hogares Ferrocarrileros, 64260 蒙特雷新萊昂州墨西哥",美容/美发/美甲,4.8,4,ChIJcRU8tkuUYoYRV34yeR98AR0,25.7254837,-100.324081,美发｜蒙特雷
EL REY DE LA COSTILLA,"Xilofactos, Central, 64270 Monterrey, N.L., 墨西哥",餐饮,2.8,34,ChIJJ28XrDKUYoYR5GaWJbZNGxk,25.7204837,-100.3381127,mala tang｜蒙特雷
